NM_SETOR_TEMA;NR_ANO;NM_TECNOLOGIAS;NM_TEC_RESUM;DS_DIFUSAO_TECNOLOGICA_5ANOS;NR_DIFUSAO_TECNOLOGICA_5ANOS_INICIO;NR_DIFUSAO_TECNOLOGICA_5ANOS_FIM;DS_DIFUSAO_TECNOLOGICA_10ANOS;NR_DIFUSAO_TECNOLOGICA_10ANOS_INICIO;NR_DIFUSAO_TECNOLOGICA_10ANOS_FIM;DS_DIFUSAO_TECNOLOGICA_15ANOS;NR_DIFUSAO_TECNOLOGICA_15ANOS_INICIO;NR_DIFUSAO_TECNOLOGICA_15ANOS_FIM;NM_FT_ORGANIZACIONAL;DS_FT_ORGANIZACIONAL;DS_EMP_IMPACTADAS_5ANOS;PC_EMP_IMPACTADAS_5ANOS;DS_EMP_IMPACTADAS_10ANOS;PC_EMP_IMPACTADAS_10ANOS;NM_NV_OCUP;DS_NV_OCUP;DS_DEMANDA_EMP_5ANOS;NR_DEMANDA_EMP_5ANOS;DS_DEMANDA_EMP_10ANOS;NR_DEMANDA_EMP_10ANOS;NM_CONHEC_NV_OCUP;NM_HAB_NV_OCUP;NM_OCUP;NM_ATIV;NM_NOVAS_ATIV;NM_CONHEC;NM_CONHEC_DETALHADOS;NM_NV_CONHEC;NM_HABIL;NM_NV_HABIL;NM_CAPAC;NM_NV_CAPAC;NM_OUTRAS_OCUP;NM_ESTILOS_TRABALHO;CD_CNAE20_DIV;CD_CNAE20_GRUPO;CD_CNAE20_CLASSE;CD_CNAE23_SUBCLASSE
Alimentos e Bebidas;2022;Crescimento do uso de embalagens com alta barreira em atmosfera modificada ou controlada;Embalagens alta barreira;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Padeiro;Operar a linha de produção de pães com fermentação natural conhecendo todas as etapas do fluxograma e seus impactos na qualidade do produto final.;;;;;;;;;;;10, 11;;;
Alimentos e Bebidas;2022;Desenvolvimento e consumo de bebidas sem álcool com adaptógenos e nootrópicos que “imitam” cerveja;Bebidas adaptógenas/nootrópicas;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Padeiro;Avaliar a qualidade sensorial dos produtos,  propondo os ajustes necessários no processo de fabricação dos pães com fermentação natural quando necessário.;;;;;;;;;;;10, 11;;;
Alimentos e Bebidas;2022;Desenvolvimento de destilados não alcoólicos de canabidiol;Destilados canabidiol;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Padeiro;Utilizar a tecnologia do frio para bloquear o processo de fermentação dos pães (armazenamento).;;;;;;;;;;;10, 11;;;
Alimentos e Bebidas;2022;Desenvolvimento e consumo de cervejas sem glúten;Cervejas sem glúten;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Padeiro;Monitorar e controlar a cadeia do frio em todas as etapas do seu processo: armazenamento, descongelamento, finalização, assamento, embalagem e expedição, de acordo com a ficha técnica do produto e a realidade do processo produtivo.;;;;;;;;;;;10, 11;;;
Alimentos e Bebidas;2022;Desenvolvimento e consumo de bebidas com formulação à base de plantas;Bebidas vegetais;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Padeiro;Realizar testes e inspeções dos produtos elaborados para avaliar a qualidade sensorial dos pães.;;;;;;;;;;;10, 11;;;
Alimentos e Bebidas;2022;Crescimento do consumo de bebidas com redução de açúcar e uso de edulcorantes;Bebidas reduzidas em açúcar;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Padeiro;Identificar as causas de erros ou falhas no processo que impactaram na qualidade final do produto, propondo e aplicando soluções de melhoria.;;;;;;;;;;;10, 11;;;
Alimentos e Bebidas;2022;Crescimentod a produção de Multiprocessados/ultraprocessados. (Colocar este conceito nas etapas de formação profissional);Multiprocessados;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Padeiro;Utilizar aditivos e coadjuvantes de tecnologia;;;;;;;;;;;10, 11;;;
Alimentos e Bebidas;2022;Desenvolvimento e consumo de gorduras mais saudáveis;Gorduras saudáveis;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Operador de processamento de bebidas;Realizar análises rápidas de controle de qualidade para diferentes etapas do fluxo produtivo;;;;;Reparos;;;;;;10, 11;;;
Alimentos e Bebidas;2022;Uso de dispositivos habilitados para Internet das Coisas com o propósito de compartilhamento de dados nutricionais pessoais dos consumidores;IoT nutricional;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Operador de processamento de bebidas;Coletar e preparar amostras para análise;;;;;Solução de problemas;;;;;;10, 11;;;
Automação e Mecatrônica;2017;Sistemas integrados de engenharia para desenvolvimento de produtos e manufatura de produtos;Engenharia integrada;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em automação industrial;Realizar  Manutenção em Sistemas de Automação;;Língua Estrangeira;;;Projetos tecnológicos;;Atenção seletiva;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Utilização de serviços em nuvem associados ao produto;Serviços em nuvem;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em automação industrial;Realizar  Diagnósticos em Sistemas de Automação;;Design;;;Gestão do tempo;;Compreensão escrita;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Visão robótica aplicada;Visão robótica;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em automação industrial;;;Física;;;Solução de problemas;;Expressão oral;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Web semantic;Web semântica;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em automação industrial;;;;;;Análise de sistemas;;Multitarefa;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Sistemas de Telemetria;Telemetria;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em mecatrônica;Projetar células robóticas;;Legislação e Governo;;;Manutenção de equipamentos;;Ordenação de informações;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;"Wireless Sensor Networks (WSN);";WSN;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em mecatrônica;Projetar  sistemas hidráulicos e pneumáticos;;Matemática;;;Instalação;;Flexibilidade para categorização;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Dispositivos de Visão;Dispositivos de visão;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em mecatrônica;Projetar  sistemas de comandos elétricos;;Mecânica;;;Programação;;Atenção seletiva;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Sistemas de Prototipagem Virtual para Projeto;Prototipagem virtual;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em mecatrônica;Parametrizar redes industriais;;Produção e Processamento;;;Projetos tecnológicos;;Expressão escrita;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Incorporação de serviços digitais nos produtos (“Internet das Coisas” ou Product Service Systems);IoT em produtos;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em mecatrônica;Programar sistemas supervisórios;;Psicologia;;;Análise de sistemas;;Percepção de profundidade;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Manufatura aditiva, prototipagem rápida ou impressão 3D;Manufatura aditiva;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;0;;0;;;;0;;0;;;Tecnólogo em mecatrônica;Empregar metrologia na fabricação de dispositivos;;Língua Estrangeira;;;Gestão do tempo;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Monitoramento de operações e controle remoto da produção com sistemas do tipo MES e SCADA;Monitoramento remoto;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Redes industriais baseadas em Ethernet;Redes industriais Ethernet;11 a 30% do mercado;11;30;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;RFID e sua integração nos sistemas sensoriais;RFID;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Projetos de manufatura por computador CAD/CAM;CAD/CAM;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Simulações/análise de modelos virtuais (Elementos Finitos, Fluidodinâmica Computacional, etc.) para projeto e comissionamento;Simulações virtuais;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
